ticker,strategy,entry_date,exit_date,entry,exit,ret_pct,bars_held,exit_reason,year
AAPL,pullback_rsi2_200d,2011-08-19,2011-08-23,10.8526,11.1727,2.9498623131349877,2,strength,2011
AAPL,pullback_rsi2_200d,2011-09-06,2011-09-07,11.0084,11.4816,4.298924825823591,1,strength,2011
MSFT,pullback_rsi2_200d,2011-09-22,2011-09-27,19.5985,19.8454,1.2597519627262743,3,strength,2011
UNH,pullback_rsi2_200d,2011-09-23,2011-09-26,36.8503,38.3562,4.086495288883674,1,strength,2011
GLD,pullback_rsi2_200d,2011-09-26,2011-09-30,157.2771,157.9019,0.3972748662666836,4,strength,2011
LLY,pullback_rsi2_200d,2011-09-26,2011-09-27,26.2042,26.7122,1.9387795491068616,1,strength,2011
AAPL,pullback_rsi2_200d,2011-09-30,2011-10-04,11.6002,10.9514,-5.592897992374657,2,stop,2011
COST,pullback_rsi2_200d,2011-10-03,2011-10-10,59.1885,58.7161,-0.7981582086061367,5,strength,2011
TLT,pullback_rsi2_200d,2011-10-11,2011-10-17,78.2215,77.1533,-1.3655644608381756,4,strength,2011
GLD,pullback_rsi2_200d,2011-10-20,2011-10-24,157.7776,160.859,1.9529824643949034,2,strength,2011
TLT,pullback_rsi2_200d,2011-10-24,2011-10-25,75.9806,77.3396,1.7886799563701317,1,strength,2011
AAPL,pullback_rsi2_200d,2011-10-24,2011-10-24,11.8717,12.1348,2.215978315768563,0,strength,2011
LLY,pullback_rsi2_200d,2011-10-26,2011-10-27,27.1976,27.2079,0.037953073671470605,1,strength,2011
AMZN,pullback_rsi2_200d,2011-10-27,2011-10-31,10.2232,10.6648,4.319689959024786,2,strength,2011
AAPL,pullback_rsi2_200d,2011-11-02,2011-11-03,11.9888,12.054,0.5435742187314352,1,strength,2011
MSFT,pullback_rsi2_200d,2011-11-02,2011-11-03,20.2182,20.5102,1.444370185785182,1,strength,2011
AAPL,pullback_rsi2_200d,2011-11-14,2011-11-15,11.4923,11.6282,1.1820025250392385,1,strength,2011
WMT,pullback_rsi2_200d,2011-11-17,2011-11-22,14.072,14.1209,0.34740444296721407,3,strength,2011
LLY,pullback_rsi2_200d,2011-11-17,2011-11-28,26.9125,26.4002,-1.9037338325122999,6,strength,2011
GLD,pullback_rsi2_200d,2011-11-18,2011-11-28,167.3972,166.4634,-0.5578651864163509,5,strength,2011
MSFT,pullback_rsi2_200d,2011-11-18,2011-11-28,19.8865,19.3717,-2.589072774775536,5,strength,2011
AMZN,pullback_rsi2_200d,2011-11-18,2011-11-21,10.2768,9.4405,-8.137374268403065,1,stop,2011
GOOGL,pullback_rsi2_200d,2011-11-21,2011-11-25,14.594,13.9239,-4.591701361532463,3,stop,2011
AAPL,pullback_rsi2_200d,2011-11-22,2011-11-28,11.1177,11.2481,1.1720261038750346,3,strength,2011
COST,pullback_rsi2_200d,2011-11-22,2011-11-28,58.9946,59.6089,1.041264417693255,3,strength,2011
TLT,pullback_rsi2_200d,2011-12-01,2011-12-02,77.9469,79.3631,1.816959702782528,1,strength,2011
TSLA,pullback_rsi2_200d,2011-12-09,2011-12-21,2.038,1.8096,-11.210636355006908,8,stop,2011
GLD,pullback_rsi2_200d,2011-12-13,2011-12-14,162.0219,155.9307,-3.759461580198631,1,stop,2011
COST,pullback_rsi2_200d,2011-12-14,2011-12-20,60.7016,60.631,-0.11622110188772572,4,strength,2011
AAPL,pullback_rsi2_200d,2011-12-15,2011-12-20,11.4866,11.8411,3.08585154538199,3,strength,2011
TSLA,pullback_rsi2_200d,2012-01-05,2012-01-10,1.8525,1.8395,-0.7031494720582621,3,strength,2012
TLT,pullback_rsi2_200d,2012-01-06,2012-01-09,79.1799,79.5385,0.4528193383849466,1,strength,2012
LLY,pullback_rsi2_200d,2012-01-06,2012-01-10,29.1516,29.3554,0.6990681031422863,2,strength,2012
COST,pullback_rsi2_200d,2012-01-09,2012-01-12,58.3554,57.9561,-0.6842369660189362,3,strength,2012
GOOGL,pullback_rsi2_200d,2012-01-10,2012-01-17,15.6366,15.5764,-0.38522786466690384,4,strength,2012
